2021-05-09 17:46:37.681 [Thread-25] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2021-05-09 17:46:37.692 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http) with context path ''
2021-05-09 17:46:37.693 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
2021-05-09 17:46:38.070 [main] INFO  com.example.cyjdiscovery.CyjDiscoveryApplication - Started CyjDiscoveryApplication in 7.236 seconds (JVM running for 9.664)
2021-05-09 17:46:39.056 [RMI TCP Connection(1)-192.168.1.2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-05-09 17:46:39.057 [RMI TCP Connection(1)-192.168.1.2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-05-09 17:46:39.064 [RMI TCP Connection(1)-192.168.1.2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2021-05-09 17:47:09.725 [http-nio-8761-exec-9] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-ENTITY-CREATER/DESKTOP-051J1LP:cyj-entity-creater:8020 with status UP (replication=false)
2021-05-09 17:47:13.014 [http-nio-8761-exec-3] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-USER/DESKTOP-051J1LP:cyj-user:8090 with status UP (replication=false)
2021-05-09 17:47:17.100 [http-nio-8761-exec-5] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-AUTH/DESKTOP-051J1LP:cyj-auth:8080 with status UP (replication=false)
2021-05-09 17:47:19.330 [http-nio-8761-exec-4] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-PAGE-MENU/DESKTOP-051J1LP:cyj-page-menu:8010 with status UP (replication=false)
2021-05-09 17:47:22.753 [http-nio-8761-exec-8] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-LOG/DESKTOP-051J1LP:cyj-log:8040 with status UP (replication=false)
2021-05-09 17:47:25.878 [http-nio-8761-exec-6] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-DICTIONARY/DESKTOP-051J1LP:cyj-dictionary:8030 with status UP (replication=false)
2021-05-09 17:47:27.520 [http-nio-8761-exec-10] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-SSO/DESKTOP-051J1LP:cyj-sso:8050 with status UP (replication=false)
2021-05-09 17:47:29.412 [http-nio-8761-exec-7] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance CYJ-QUERY/DESKTOP-051J1LP:cyj-query:8070 with status UP (replication=false)
2021-05-09 17:47:37.673 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:48:37.674 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:49:37.674 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:50:37.674 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:51:37.674 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:52:37.674 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:53:37.674 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:54:37.675 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:55:37.675 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:56:37.423 [Eureka-PeerNodesUpdater] WARN  com.netflix.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2021-05-09 17:56:37.676 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2021-05-09 17:57:37.677 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
